                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1838,                 1.5904,                  1.517,                0.43995,                0.33609,                0.33859,                0.16784,                 1.6789,                 2.2582,                 2.0085,             0.00086019,             0.00086019,             0.00086019
                     65,                 1.1177,                 1.5406,                 1.4618,                0.42651,                0.41267,                0.39641,                0.22173,                 1.6102,                 2.2214,                 1.9253,               0.000854,               0.000854,               0.000854
                     66,                  1.116,                 1.4921,                 1.4496,                0.40386,                 0.4165,                0.34252,                0.19475,                 1.6729,                 2.2345,                 2.0082,             0.00084781,             0.00084781,             0.00084781
                     67,                 1.1032,                 1.4814,                 1.4334,                 0.4018,                0.46765,                0.37801,                0.20517,                 1.5448,                 2.1213,                 1.8966,             0.00084162,             0.00084162,             0.00084162
                     68,                 1.1136,                  1.582,                 1.4742,                0.48669,                0.39127,                 0.4021,                0.23244,                 1.5494,                 2.0605,                 1.8845,             0.00083544,             0.00083544,             0.00083544
                     69,                 1.0915,                 1.4459,                 1.4392,                0.48727,                0.43388,                0.42232,                0.23868,                 1.5862,                 2.0853,                  1.942,             0.00082925,             0.00082925,             0.00082925
                     70,                 1.0824,                 1.4269,                 1.4316,                0.51468,                 0.4078,                0.40558,                0.21801,                   1.62,                 2.0858,                 1.9486,             0.00082306,             0.00082306,             0.00082306
                     71,                 1.0669,                 1.4082,                 1.4122,                0.46543,                0.46819,                0.41557,                0.23091,                 1.5185,                  2.154,                 1.8907,             0.00081688,             0.00081688,             0.00081688
                     72,                 1.0645,                 1.3908,                 1.3958,                0.47776,                0.42117,                0.43258,                0.24677,                 1.5488,                 2.0556,                 1.8809,             0.00081069,             0.00081069,             0.00081069
                     73,                  1.058,                 1.3738,                 1.4128,                0.53493,                0.36817,                0.40683,                0.21699,                 1.6003,                 2.2026,                 1.9512,              0.0008045,              0.0008045,              0.0008045
                     74,                 1.0796,                 1.4001,                 1.4397,                0.41227,                0.43124,                0.37418,                0.21814,                 1.5888,                  2.268,                 1.9368,             0.00079831,             0.00079831,             0.00079831
                     75,                 1.0581,                 1.4249,                   1.43,                0.55126,                0.39685,                0.43925,                0.23207,                 1.6036,                 2.1032,                 1.9619,             0.00079213,             0.00079213,             0.00079213
                     76,                 1.0283,                 1.3614,                 1.3917,                0.50685,                0.38174,                0.39167,                0.22494,                 1.6621,                 2.1337,                 1.9888,             0.00078594,             0.00078594,             0.00078594
                     77,                 1.0463,                 1.3702,                 1.4046,                0.51595,                0.33321,                0.34809,                0.20527,                 1.6664,                 2.3453,                 2.0084,             0.00077975,             0.00077975,             0.00077975
                     78,                 1.0578,                 1.3962,                  1.407,                0.45232,                0.38317,                0.34489,                0.17968,                 1.7118,                 2.1701,                  2.036,             0.00077356,             0.00077356,             0.00077356
                     79,                 1.0615,                 1.3676,                  1.402,                0.39411,                0.43356,                0.35773,                0.19678,                    1.6,                 2.1385,                 1.9702,             0.00076738,             0.00076738,             0.00076738
                     80,                 1.0681,                 1.4163,                 1.4305,                0.44945,                0.42258,                 0.3974,                0.22507,                 1.6654,                 2.2306,                 2.0614,             0.00076119,             0.00076119,             0.00076119
                     81,                 1.0532,                 1.3773,                  1.416,                0.40552,                0.39912,                0.32986,                0.18922,                 1.5893,                 2.1188,                 1.9497,               0.000755,               0.000755,               0.000755
                     82,                 1.0379,                 1.3331,                 1.4006,                0.38813,                0.47974,                0.39334,                0.22322,                 1.5976,                 2.0582,                 1.9438,             0.00074881,             0.00074881,             0.00074881
                     83,                0.99494,                 1.2771,                 1.3445,                0.64728,                0.33437,                0.39216,                0.22708,                 1.6328,                 2.3186,                  1.991,             0.00074263,             0.00074263,             0.00074263
                     84,                 1.0161,                 1.3011,                 1.3709,                0.55044,                0.40629,                 0.4262,                0.24411,                 1.5891,                 2.1305,                 1.9393,             0.00073644,             0.00073644,             0.00073644
                     85,                 0.9885,                 1.2756,                 1.3606,                0.43921,                0.33419,                0.33919,                0.19773,                 1.5854,                 2.3275,                 1.9693,             0.00073025,             0.00073025,             0.00073025
                     86,                 1.0151,                 1.3442,                 1.3747,                 0.4695,                0.44161,                0.39418,                0.23076,                 1.6248,                 2.1164,                 2.0086,             0.00072406,             0.00072406,             0.00072406
                     87,                 1.0197,                 1.2933,                 1.3788,                0.41948,                0.41419,                0.37694,                0.22249,                 1.5863,                 2.0976,                 1.9501,             0.00071788,             0.00071788,             0.00071788
                     88,                 0.9889,                 1.2735,                 1.3655,                0.44944,                0.40582,                 0.3686,                0.18766,                 1.7182,                  2.037,                 2.0936,             0.00071169,             0.00071169,             0.00071169
                     89,                0.96444,                 1.2197,                 1.3731,                0.47765,                0.40337,                0.37618,                  0.213,                 1.5959,                 2.0978,                 1.9279,              0.0007055,              0.0007055,              0.0007055
                     90,                0.93889,                 1.2042,                 1.3287,                0.42622,                 0.4765,                0.41376,                0.22965,                 1.6625,                 2.2373,                 1.9852,             0.00069931,             0.00069931,             0.00069931
                     91,                0.95889,                 1.1879,                  1.334,                0.59544,                0.35861,                 0.4231,                0.23498,                 1.6622,                 2.0519,                 2.0413,             0.00069313,             0.00069313,             0.00069313
                     92,                0.95958,                 1.2006,                 1.3328,                0.55314,                0.41589,                0.42847,                0.25388,                 1.5668,                 2.2931,                 1.9585,             0.00068694,             0.00068694,             0.00068694
                     93,                0.93166,                 1.1892,                 1.3369,                 0.4152,                0.45732,                 0.3961,                0.22315,                 1.6433,                 2.0991,                 2.0175,             0.00068075,             0.00068075,             0.00068075
                     94,                0.92566,                 1.1813,                 1.3201,                0.39289,                0.43654,                 0.3805,                0.21944,                 1.5548,                 2.0212,                 1.9179,             0.00067456,             0.00067456,             0.00067456
                     95,                0.95654,                  1.233,                 1.3304,                0.43959,                0.46273,                0.41448,                0.23705,                 1.5891,                 2.0965,                  1.914,             0.00066838,             0.00066838,             0.00066838
                     96,                0.95921,                 1.2111,                 1.3403,                0.48332,                0.48583,                0.40436,                0.23116,                 1.6385,                 2.0739,                 2.0204,             0.00066219,             0.00066219,             0.00066219
                     97,                0.93525,                 1.1539,                 1.3248,                0.37277,                0.43682,                0.34428,                0.20366,                 1.5988,                 2.1589,                 1.9821,               0.000656,               0.000656,               0.000656
                     98,                0.95011,                 1.1623,                 1.3306,                0.46203,                0.49401,                0.42349,                0.25839,                 1.5361,                 2.0337,                 1.9142,             0.00064981,             0.00064981,             0.00064981
